id;artcl_iden;artcl_reference;artcl_designation;artcl_qn_stock;artcl_img;artcl_img_content_type;artcl_serie;artcl_prix_achat;artcl_px_achat_total;artcl_px_vente_total
1;8878;index Licensed;copy lavender;47404;../fake-data/blob/hipster.png;image/png;Cambridgeshire;7262;74402;23053
2;72906;Home visualize;c fuchsia;62389;../fake-data/blob/hipster.png;image/png;PCI;84854;57199;54931
3;90605;c Persistent;bifurcated;82178;../fake-data/blob/hipster.png;image/png;program HTTP XSS;71872;27802;85116
4;49977;Rustic Taka;Assimilated Philippine;34416;../fake-data/blob/hipster.png;image/png;Licensed SAS Poitou-Charentes;93999;4607;83130
5;36495;AI;matrix a;62992;../fake-data/blob/hipster.png;image/png;Mouse;93451;53024;71998
6;64010;a wireless compress;rich yellow;50633;../fake-data/blob/hipster.png;image/png;withdrawal c;12067;21963;11328
7;29086;b back generate;overriding synergistic;76332;../fake-data/blob/hipster.png;image/png;maximize;66942;40980;5406
8;51314;a RSS Franc;Royale Huchette;25115;../fake-data/blob/hipster.png;image/png;solutions interfaces Handmade;13691;9459;11831
9;80582;withdrawal Plastic Persistent;Movies leading-edge;56512;../fake-data/blob/hipster.png;image/png;Bedfordshire Botswana Loan;43467;56441;65607
10;3943;transition;monitoring;7965;../fake-data/blob/hipster.png;image/png;deposit;33011;1618;43666
