id;book_name;author_name;nom_of_books;is_dn_nomber;subject_book;lang_of_book
1;Table Fish;a programming;17159;real-time;c compress state;Coordinateur high-level d'Orsel
2;Borders Espagne Monsieur-le-Prince;c;56683;auxiliary Pula Stagiaire;b calculating Basse-Normandie;Books quantify
3;Charron violet;ivory lime;88762;cross-platform;optical methodologies orchestrate;Pierre payment Shoes
4;grow Chicken generate;deposit Cambridgeshire;11906;e-business indigo Account;Suriname Personal programming;Books transmitter
5;next-generation;Table Sleek input;33491;Île-de-France Pays;e-tailers e-business Superviseur;payment Toys Home
6;solid Saint-Vincent-et-les-Grenadines;withdrawal Pizza Andorre;20035;c JBOD;EXE Languedoc-Roussillon b;optical channels Intelligent
7;index bus Consultant;withdrawal engineer;68245;compress Concrete matrix;SMS;input migration
8;Quality-focused Synergized;Yémen parsing New;41623;initiatives composite;target override;fuchsia
9;Bahamian Avon withdrawal;Tasty orchestrate;30751;Intuitive;Tuna Soft Mouffetard;Auvergne
10;Unbranded;Licensed;91910;initiatives Savings;Chips Home;Frozen
