id;achat_ident_fac;achat_date_effet;achat_date_update;achat_status_fact;achat_montant_ht;achat_montant_tva;achat_montant_ttc
1;96371;2022-01-06;2022-01-07;c;48235;4307;42695
2;60217;2022-01-07;2022-01-07;Games;46175;33041;52769
3;81543;2022-01-07;2022-01-07;Languedoc-Roussillon Tenge;21648;96652;69236
4;71220;2022-01-07;2022-01-07;HDD primary Berkshire;77417;6185;47270
5;4216;2022-01-07;2022-01-07;de Midi-Pyrénées Cambridgeshire;57117;63080;13931
6;30004;2022-01-07;2022-01-07;Bourgogne;21025;72434;49401
7;34291;2022-01-06;2022-01-06;a Granite;31903;59604;68181
8;49230;2022-01-06;2022-01-06;client-driven Borders;54156;61407;3346
9;87892;2022-01-07;2022-01-07;payment Lepic;26543;737;76478
10;7650;2022-01-06;2022-01-07;SQL Papouasie-Nouvelle-Guinée Technicien;25667;23883;32613
