id;vente_ident_fac;vente_date_effet;vente_date_update;vente_status_fact;vente_montant_ht;vente_montant_tva;vente_montant_ttc
1;2775;2022-01-07;2022-01-07;c Technicien;41922;63442;17201
2;64950;2022-01-07;2022-01-07;calculate standardization;95688;80164;80080
3;15483;2022-01-07;2022-01-07;b;55129;63246;19882
4;76782;2022-01-07;2022-01-07;Alsace Robust;53173;18880;37475
5;96416;2022-01-06;2022-01-06;Administrateur;83817;63042;37772
6;41479;2022-01-07;2022-01-06;du;30515;39211;27490
7;87735;2022-01-07;2022-01-06;card Exclusive;21632;41985;48020
8;77869;2022-01-06;2022-01-06;program back-end;22023;55774;7672
9;3587;2022-01-07;2022-01-06;exuding user-facing a;7215;74034;62436
10;73781;2022-01-07;2022-01-06;c;40205;14668;98785
