id;bon_liv_ident_cl;liv_date_cl;liv_date_update_cl;liv_date_effet_cl;bon_liv_total_cl
1;9081;2022-01-07;2022-01-07;2022-01-06;96879
2;37578;2022-01-07;2022-01-07;2022-01-07;63950
3;33231;2022-01-06;2022-01-07;2022-01-07;57834
4;27016;2022-01-06;2022-01-06;2022-01-06;74934
5;35181;2022-01-07;2022-01-07;2022-01-07;32033
6;85677;2022-01-07;2022-01-07;2022-01-07;53728
7;45278;2022-01-07;2022-01-07;2022-01-07;91842
8;53155;2022-01-07;2022-01-07;2022-01-07;86524
9;56390;2022-01-06;2022-01-06;2022-01-07;53003
10;60372;2022-01-06;2022-01-07;2022-01-06;60402
