id;bon_liv_ident;liv_fr_date;liv_fr_date_update;liv_date_effet;bon_liv_total
1;39050;2022-01-06;2022-01-07;2022-01-06;20403
2;88118;2022-01-06;2022-01-07;2022-01-06;73803
3;59890;2022-01-06;2022-01-07;2022-01-06;45578
4;79610;2022-01-06;2022-01-07;2022-01-06;47501
5;76848;2022-01-07;2022-01-07;2022-01-07;14093
6;4947;2022-01-07;2022-01-06;2022-01-06;98583
7;12681;2022-01-06;2022-01-06;2022-01-07;53539
8;57576;2022-01-06;2022-01-06;2022-01-07;16841
9;72583;2022-01-06;2022-01-07;2022-01-06;89340
10;84420;2022-01-06;2022-01-07;2022-01-06;56195
