id;payement_cl_ident;payement_cl_date;payement_cl_mode;payement_cl_echeance;payement_cl_montant
1;15093;2022-01-06;Grèce de UIC-Franc;2022-01-07;20598
2;22000;2022-01-07;Bacon Fresh synthesizing;2022-01-07;35907
3;56844;2022-01-06;Buckinghamshire;2022-01-06;71657
4;4853;2022-01-06;disintermediate;2022-01-06;85190
5;59089;2022-01-07;optimize;2022-01-07;99607
6;11995;2022-01-06;white c;2022-01-06;60334
7;32734;2022-01-07;copy Loan;2022-01-06;92836
8;18075;2022-01-07;Exclusive b;2022-01-07;40518
9;20966;2022-01-07;Directeur;2022-01-07;46818
10;6817;2022-01-07;uniform Handcrafted responsive;2022-01-06;64627
