id;payement_fr_ident;payement_fr_date;payement_fr_mode;payement_fr_echeance;payement_fr_montant
1;27007;2022-01-06;navigate extend FTP;2022-01-06;92082
2;33748;2022-01-07;index;2022-01-07;60935
3;96943;2022-01-07;Rivoli programming;2022-01-06;5274
4;45805;2022-01-07;Handmade;2022-01-06;69041
5;11785;2022-01-07;Consultant Comores;2022-01-07;95654
6;23917;2022-01-06;Analyste even-keeled;2022-01-07;32529
7;9512;2022-01-07;backing payment;2022-01-07;41558
8;84579;2022-01-07;dynamic;2022-01-07;74651
9;74346;2022-01-06;Kip;2022-01-06;21798
10;47851;2022-01-07;connect;2022-01-06;5922
